Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	10
1	8
2	7
3	7
4	7
5	6
6	6
7	6
8	6
9	6
10	6
11	7
12	7
13	8
14	8
15	8
16	8
17	8
18	7
19	7
20	7
21	7
22	7
23	7
24	7
25	8
26	7
27	7
28	7
29	7
30	7
31	7
32	7
33	7
34	7
35	7
36	7
37	7
38	7
39	7
40	8
41	8
42	8
43	7
44	7
45	8
46	8
47	7
48	8
49	8
50	8
51	7
52	7
53	7
54	7
55	7
56	7
57	7
58	7
59	7
60	7
61	7
62	7
63	7
64	7
65	7
66	7
67	7
68	7
69	7
70	7
71	7
72	7
73	7
74	7
75	7
76	7
77	7
78	7
79	7
80	7
81	7
82	7
83	7
84	7
85	7
86	7
87	7
88	7
89	6
90	7
91	7
92	7
93	7
94	7
95	7
96	7
97	7
98	7
99	7
