Percentage of Add/Delete Operations vs Average Response Time
Add/Delete Percentage	Average Response Time (ms)
40	72
40	39
40	29
40	24
40	22
40	21
40	20
40	28
40	30
40	29
40	32
40	33
40	31
40	30
40	29
40	31
40	29
40	28
40	27
40	26
40	25
40	25
40	24
40	23
40	23
40	23
40	22
40	22
40	22
40	21
40	21
40	21
40	20
40	20
40	20
40	20
40	20
40	20
40	19
40	19
40	19
40	19
40	18
40	18
40	18
40	18
40	18
40	18
40	17
40	17
40	17
40	16
40	16
40	16
40	16
40	15
40	15
40	15
40	15
40	15
40	14
40	14
40	14
40	14
40	14
40	14
40	14
40	13
40	13
40	13
40	13
40	13
40	13
40	13
40	13
40	13
40	12
40	12
40	12
40	12
40	12
40	12
40	12
40	12
40	12
40	12
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
