Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	48
1	27
2	21
3	18
4	17
5	15
6	14
7	13
8	12
9	11
10	10
11	10
12	9
13	9
14	9
15	8
16	8
17	8
18	8
19	7
20	7
21	7
22	7
23	7
24	7
25	7
26	6
27	6
28	6
29	6
30	6
31	6
32	6
33	6
34	5
35	5
36	5
37	5
38	5
39	5
40	5
41	5
42	5
43	5
44	5
45	5
46	5
47	4
48	4
49	4
50	4
51	4
52	4
53	4
54	4
55	4
56	4
57	4
58	4
59	4
60	4
61	4
62	4
63	4
64	4
65	4
66	4
67	4
68	3
69	3
70	3
71	3
72	3
73	3
74	3
75	3
76	3
77	3
78	3
79	3
80	3
81	3
82	3
83	3
84	3
85	3
86	3
87	3
88	3
89	3
90	3
91	3
92	3
93	3
94	3
95	3
96	3
97	3
98	3
99	3
Frequency of Requests vs Average Response Time
Frequency	Average Response Time (ms)
0	76
1	47
2	48
3	42
4	35
5	32
6	33
7	31
8	29
9	27
10	25
11	24
12	22
13	21
14	20
15	19
16	18
17	17
18	17
19	17
20	16
21	15
22	15
23	15
24	15
25	14
26	14
27	13
28	13
29	13
30	14
31	13
32	13
33	13
34	12
35	12
36	12
37	12
38	12
39	12
40	11
41	11
42	11
43	11
44	11
45	11
46	11
47	10
48	10
49	10
50	10
51	10
52	10
53	10
54	10
55	9
56	9
57	9
58	9
59	9
60	9
61	9
62	9
63	9
64	9
65	9
66	9
67	9
68	9
69	9
70	9
71	9
72	9
73	9
74	8
75	8
76	8
77	9
78	9
79	9
80	9
81	9
82	9
83	9
84	9
85	9
86	10
87	10
88	10
89	10
90	10
91	10
92	9
93	9
94	9
95	9
96	9
97	9
98	9
99	9
